date,ph,waterTemp,nitrogen,airTemp,dissolvedOxygen
Jan 2000,8,73,192,96,58
Feb 2000,8,68,170,104,29
Mar 2000,9,84,110,97,51
Apr 2000,6,70,156,56,43
May 2000,6,78,183,78,25
Jun 2000,7,70,173,71,46
Jul 2000,9,74,195,71,49
Aug 2000,8,69,173,99,43
Sep 2000,7,77,119,97,31
Oct 2000,6,68,154,80,35
Nov 2000,8,86,164,67,32
Dec 2000,5,72,149,67,50
Jan 2001,8,85,103,96,58
Feb 2001,8,87,195,87,61
Mar 2001,6,61,156,67,43
Apr 2001,9,74,114,65,35
May 2001,9,70,166,111,53
Jun 2001,8,73,106,109,35
Jul 2001,9,72,200,72,47
Aug 2001,8,79,174,50,22
Sep 2001,5,90,185,101,50
Oct 2001,6,72,113,93,23
Nov 2001,7,64,133,88,24
Dec 2001,7,88,186,114,49
Jan 2002,5,81,127,104,57
Feb 2002,6,85,106,77,26
Mar 2002,7,86,162,61,45
Apr 2002,8,66,176,58,37
May 2002,9,62,199,96,58
Jun 2002,6,65,182,73,57
Jul 2002,6,88,114,111,26
Aug 2002,7,76,107,90,48
Sep 2002,9,62,114,93,37
Oct 2002,6,80,166,72,54
Nov 2002,7,76,105,80,23
Dec 2002,7,81,118,100,33
Jan 2003,6,76,201,98,54
Feb 2003,7,63,171,111,53
Mar 2003,6,62,186,86,38
Apr 2003,7,88,188,102,50
May 2003,9,85,135,87,25
Jun 2003,8,69,103,92,27
Jul 2003,7,79,115,100,50
Aug 2003,8,86,193,65,42
Sep 2003,8,66,162,107,33
Oct 2003,9,83,191,110,35
Nov 2003,5,60,153,55,56
Dec 2003,8,69,163,64,42
Jan 2004,6,85,179,76,48
Feb 2004,7,72,108,93,47
Mar 2004,6,62,149,75,51
Apr 2004,5,70,177,66,41
May 2004,5,70,153,108,58
Jun 2004,9,82,123,71,50
Jul 2004,5,75,151,113,61
Aug 2004,6,64,102,53,23
Sep 2004,5,86,107,116,29
Oct 2004,5,79,119,83,60
Nov 2004,6,76,179,85,55
Dec 2004,7,84,199,97,45
Jan 2005,9,78,135,90,35
Feb 2005,7,67,159,98,43
Mar 2005,8,82,122,93,28
Apr 2005,8,71,133,66,42
May 2005,9,63,129,89,23
Jun 2005,5,71,195,115,49
Jul 2005,9,63,130,120,34
Aug 2005,8,86,99,52,55
Sep 2005,6,74,101,117,43
Oct 2005,7,60,151,60,56
Nov 2005,8,81,201,101,31
Dec 2005,8,70,152,95,55
Jan 2006,5,62,150,53,23
Feb 2006,5,61,195,67,53
Mar 2006,9,75,102,55,60
Apr 2006,8,60,189,53,62
May 2006,8,82,139,54,36
Jun 2006,5,74,123,115,23
Jul 2006,8,83,128,106,49
Aug 2006,5,80,186,114,40
Sep 2006,7,78,157,51,39
Oct 2006,9,65,155,110,23
Nov 2006,8,60,185,77,22
Dec 2006,9,66,193,59,58
Jan 2007,9,84,146,116,35
Feb 2007,6,62,111,97,27
Mar 2007,5,73,176,77,31
Apr 2007,6,61,121,53,27
May 2007,5,78,176,75,61
Jun 2007,6,62,185,72,21
Jul 2007,8,66,139,105,26
Aug 2007,8,68,150,91,39
Sep 2007,5,88,102,91,27
Oct 2007,8,66,108,113,59
Nov 2007,7,80,120,79,26
Dec 2007,8,72,133,80,50
Jan 2008,9,75,169,116,42
Feb 2008,5,73,114,118,43
Mar 2008,7,85,177,65,57
Apr 2008,5,78,192,86,61
May 2008,8,68,185,78,34
Jun 2008,8,61,110,71,31
Jul 2008,8,85,104,103,30
Aug 2008,9,82,186,111,40
Sep 2008,7,65,183,119,52
Oct 2008,6,72,180,98,62
Nov 2008,6,71,162,80,24
Dec 2008,5,88,138,56,47
Jan 2009,5,67,182,107,50
Feb 2009,8,78,121,104,53
Mar 2009,8,64,106,63,44
Apr 2009,7,75,147,52,24
May 2009,9,75,104,105,27
Jun 2009,7,80,128,64,31
Jul 2009,7,88,138,90,58
Aug 2009,8,80,115,97,48
Sep 2009,8,69,158,72,60
Oct 2009,8,84,192,76,40
Nov 2009,8,65,132,115,27
Dec 2009,9,74,177,110,41
Jan 2010,8,73,160,61,26
Feb 2010,5,77,151,67,51
Mar 2010,8,76,141,111,53
